material,coating,temperature,tpp,prn,koefficient
ВТ18У,nACRo+TiB2,300,193.6,1290,0.15007751937984495
ВТ18У,nACRo+TiB2,400,211.6,1306,0.16202143950995404
ВТ18У,nACRo+TiB2,500,227.2,1336,0.17005988023952096
ВТ18У,nACRo+TiB2,600,236.8,1360,0.17411764705882354
ВТ18У,nACRo+TiB2,700,242.4,1377,0.17603485838779956
ВТ18У,nACo3+TiB2,300,197.5246,1299,0.1520589684372594
ВТ18У,nACo3+TiB2,400,216.9491525423729,1301,0.16675568988652797
ВТ18У,nACo3+TiB2,500,232.20338983050848,1319,0.17604502640675396
ВТ18У,nACo3+TiB2,600,242.3728813559322,1346,0.18006900546503135
ВТ18У,nACo3+TiB2,700,249.15254237288136,1368,0.18212905144216474
ВТ18У,nACo3,300,203.833,1323,0.15406878306878308
ВТ18У,nACo3,400,222.4162,1308,0.17004296636085628
ВТ18У,nACo3,500,235.4165,1315,0.17902395437262358
ВТ18У,nACo3,600,245.4632,1334,0.18400539730134932
ВТ18У,nACo3,700,251.165,1350,0.18604814814814813
ВТ18У,nACRo,300,207,1326,0.15610859728506787
ВТ18У,nACRo,400,227,1304,0.174079754601227
ВТ18У,nACRo,500,239,1298,0.18412942989214176
ВТ18У,nACRo,600,249,1310,0.1900763358778626
ВТ18У,nACRo,700,253,1317,0.1921032649962035
ВТ18У,TiB2,300,211,1335,0.15805243445692885
ВТ18У,TiB2,400,231,1297,0.178
ВТ18У,TiB2,500,244,1284,0.19
ВТ18У,TiB2,600,253,1277,0.198
ВТ18У,TiB2,700,258,1290,0.2
ВТ18У,AlTiCrN3 ,300,217.546,1158,0.16
ВТ18У,AlTiCrN3 ,400,233.459,1164,0.18
ВТ18У,AlTiCrN3 ,500,246.6545,1169,0.192
ВТ18У,AlTiCrN3 ,600,255.4165,1175,0.2
ВТ18У,AlTiCrN3 ,700,261.416,1182,0.202
ВТ18У,AlTiN3,300,221.0,1178,0.164
ВТ18У,AlTiN3,400,236.0,1182,0.182
ВТ18У,AlTiN3,500,249.0,1188,0.196
ВТ18У,AlTiN3,600,257.852,1193,0.204
ВТ18У,AlTiN3,700,264.8516,1204,0.208
ВТ18У,AlTiCrN3+TiB2 ,300,223,1198,0.166
ВТ18У,AlTiCrN3+TiB2 ,400,239,1206,0.184
ВТ18У,AlTiCrN3+TiB2 ,500,254,1212,0.198
ВТ18У,AlTiCrN3+TiB2 ,600,263,1219,0.208
ВТ18У,AlTiCrN3+TiB2 ,700,266,1223,0.214
ВТ18У,AlTiN3+TiB2 ,300,227.0,1219,0.168
ВТ18У,AlTiN3+TiB2 ,400,245.4162,1224,0.188
ВТ18У,AlTiN3+TiB2 ,500,259.0,1229,0.202
ВТ18У,AlTiN3+TiB2 ,600,267.0,1234,0.21
ВТ18У,AlTiN3+TiB2 ,700,269.0,1240,0.216
ВТ18У,(CrAlSi)N+DLC,300,232.0,1239,0.17
ВТ18У,(CrAlSi)N+DLC,400,251.66666666666669,1241,0.192
ВТ18У,(CrAlSi)N+DLC,500,265.83333333333337,1257,0.206
ВТ18У,(CrAlSi)N+DLC,600,271.0,1246,0.214
ВТ18У,(CrAlSi)N+DLC,700,273.0,1237,0.218
ВТ18У,Без покрытия,300,236.9747899159664,1254,0.18897511157573077
ВТ18У,Без покрытия,400,258.8235294117647,1268,0.20411950269066617
ВТ18У,Без покрытия,500,273.0,1294,0.212
ВТ18У,Без покрытия,600,281.0,1298,0.218
ВТ18У,Без покрытия,700,283.0,1287,0.22
ВТ41,nACRo+TiB2,300,1063,0.09506362331039263
ВТ41,nACRo+TiB2,400,991,0.12002761697381699
ВТ41,nACRo+TiB2,500,924,0.14012303485987698
ВТ41,nACRo+TiB2,600,907,0.15203388846979632
ВТ41,nACRo+TiB2,700,881,0.16010514367644424
ВТ41,nACo3+TiB2,300,108,1090,0.09908256880733946
ВТ41,nACo3+TiB2,400,127,1000,0.127
ВТ41,nACo3+TiB2,500,140,933,0.15005359056806003
ВТ41,nACo3+TiB2,600,150,927,0.16181229773462782
ВТ41,nACo3+TiB2,700,154,921,0.16720955483170466
ВТ41,nACo3,300,122.3529411764706,1187,0.10307745676198028
ВТ41,nACo3,400,141.1764705882353,1061,0.13305982147807285
ВТ41,nACo3,500,152.94117647058823,955,0.16014782876501385
ВТ41,nACo3,600,158.8235294117647,937,0.16950216586100822
ВТ41,nACo3,700,161.1764705882353,927,0.17386890031093344
ВТ41,nACRo,300,138,1314,0.1050228310502283
ВТ41,nACRo,400,156,1130,0.13805309734513274
ВТ41,nACRo,500,168,1018,0.1650294695481336
ВТ41,nACRo,600,176,977,0.18014329580348004
ВТ41,nACRo,700,178,962,0.18503118503118504
ВТ41,TiB2,300,154,1400,0.11
ВТ41,TiB2,400,175,1206,0.1451077943615257
ВТ41,TiB2,500,184,1069,0.17212347988774557
ВТ41,TiB2,600,189,994,0.19014084507042253
ВТ41,TiB2,700,190,959,0.1981230448383733
ВТ41,AlTiCrN3 ,300,165,1434,0.11506276150627615
ВТ41,AlTiCrN3 ,400,186,1223,0.15208503679476695
ВТ41,AlTiCrN3 ,500,196,1107,0.17705510388437218
ВТ41,AlTiCrN3 ,600,203,1035,0.1961352657004831
ВТ41,AlTiCrN3 ,700,204,980,0.20816326530612245
ВТ41,AlTiN3,300,173,1441,0.12005551700208189
ВТ41,AlTiN3,400,192,1200,0.16
ВТ41,AlTiN3,500,204,1085,0.1880184331797235
ВТ41,AlTiN3,600,212,1009,0.21010901883052527
ВТ41,AlTiN3,700,213,968,0.22004132231404958
ВТ41,AlTiCrN3+TiB2 ,300,186,1430,0.13006993006993006
ВТ41,AlTiCrN3+TiB2 ,400,200,1176,0.17006802721088435
ВТ41,AlTiCrN3+TiB2 ,500,210,1076,0.19516728624535315
ВТ41,AlTiCrN3+TiB2 ,600,217,1009,0.21506442021803765
ВТ41,AlTiCrN3+TiB2 ,700,220,969,0.22703818369453044
ВТ41,AlTiN3+TiB2 ,300,194,1437,0.1350034794711204
ВТ41,AlTiN3+TiB2 ,400,211,1198,0.17612687813021702
ВТ41,AlTiN3+TiB2 ,500,222,1099,0.20200181983621474
ВТ41,AlTiN3+TiB2 ,600,228,1036,0.22007722007722008
ВТ41,AlTiN3+TiB2 ,700,230,1000,0.23
ВТ41,(CrAlSi)N+DLC,300,205.3846153846154,1467,0.14000314613811546
ВТ41,(CrAlSi)N+DLC,400,221.53846153846152,1217,0.1820365337210037
ВТ41,(CrAlSi)N+DLC,500,233.84615384615384,1113,0.21010436104775726
ВТ41,(CrAlSi)N+DLC,600,239.23076923076923,1044,0.2291482463896257
ВТ41,(CrAlSi)N+DLC,700,241.53846153846152,1006,0.2400978742927053
ВТ41,Без покрытия,300,228.8,1525,0.1500327868852459
ВТ41,Без покрытия,400,240.0,1230,0.1951219512195122
ВТ41,Без покрытия,500,251.2,1141,0.22015775635407536
ВТ41,Без покрытия,600,260.0,1083,0.24007386888273316
ВТ41,Без покрытия,700,263.2,1052,0.25019011406844105
ХН50,nACRo+TiB2,500,192,998,0.19238476953907815
ХН50,nACRo+TiB2,600,226,1040,0.2173076923076923
ХН50,nACRo+TiB2,700,246,1050,0.2342857142857143
ХН50,nACRo+TiB2,800,256,1053,0.24311490978157646
ХН50,nACRo+TiB2,900,262,1056,0.2481060606060606
ХН50,nACo3+TiB2,500,208,1038,0.2003853564547206
ХН50,nACo3+TiB2,600,236,1042,0.22648752399232247
ХН50,nACo3+TiB2,700,254,1074,0.23649906890130354
ХН50,nACo3+TiB2,800,264,1079,0.24467099165894346
ХН50,nACo3+TiB2,900,272,1089,0.2497704315886134
ХН50,nACo3,500,218,1032,0.2111913357400722
ХН50,nACo3,600,248,1066,0.23264201983769162
ХН50,nACo3,700,262,1078,0.243
ХН50,nACo3,800,272,1088,0.25
ХН50,nACo3,900,278,1094,0.25405405405405407
ХН50,nACRo,500,228,1054,0.21631878557874762
ХН50,nACRo,600,258,1088,0.23713235294117646
ХН50,nACRo,700,272,1095,0.24840182648401826
