;L, μμ;hn58,naco3-11,53, 800 .csv;Result;fail;Predict
0;3,533333333;14,02;7,116836121;47,65367153;6,732767322
1;4,416666667;14,08;7,140182986;48,16106019;6,758491468
2;5,3;13,99;7,163529851;46,6006947;6,784215614
3;6,183333333;13,87;7,186876715;44,66413684;6,80993976
4;7,066666667;13,82;7,21022358;43,68914433;6,835663905
5;7,95;13,98;7,233570444;45,51431175;6,861388051
6;8,833333333;13,99;7,256917309;45,33440253;6,887112197
7;9,716666667;14,27;7,280264173;48,85640693;6,912836343
8;10,6;14,57;7,303611038;52,80040855;6,938560489
9;11,48333333;14,6;7,326957903;52,89714135;6,964284634
10;12,36666667;14,54;7,350304767;51,69171754;6,99000878
11;13,25;14,73;7,373651632;54,11586132;7,015732926
12;14,13333333;14,81;7,396998496;54,9525913;7,041457072
13;15,01666667;14,91;7,420345361;56,09492661;7,067181218
14;15,9;15,17;7,443692225;59,69583183;7,092905363
15;16,78333333;15,4;7,46703909;62,9318688;7,118629509
16;17,66666667;15,72;7,490385954;67,72654734;7,144353655
17;18,55;15,61;7,513732819;65,54954227;7,170077801
18;19,43333333;15,61;7,537079684;65,17204243;7,195801947
19;20,31666667;15,69;7,560426548;66,08996451;7,221526092
20;21,2;15,77;7,583773413;67,01430574;7,247250238
21;22,08333333;15,62;7,607120277;64,20624145;7,272974384
22;22,96666667;15,64;7,630467142;64,15261661;7,29869853
23;23,85;15,62;7,653814006;63,46011928;7,324422676
24;24,73333333;15,65;7,677160871;63,56616378;7,350146821
25;25,61666667;15,67;7,700507736;63,51280695;7,375870967
26;26,5;15,68;7,7238546;63,30024962;7,401595113
27;27,38333333;15,91;7,747201465;66,63127993;7,427319259
28;28,26666667;16,07;7,770548329;68,88089804;7,453043404
29;29,15;16,18;7,793895194;70,32675382;7,47876755
30;30,03333333;16,11;7,817242058;68,76983428;7,504491696
31;30,91666667;16,09;7,840588923;68,05278312;7,530215842
32;31,8;16,04;7,863935787;66,84802601;7,555939988
33;32,68333333;16,09;7,887282652;67,28457189;7,581664133
34;33,56666667;15,72;7,910629517;60,98626735;7,607388279
35;34,45;15,73;7,933976381;60,77798427;7,633112425
36;35,33333333;15,74;7,957323246;60,57005746;7,658836571
37;36,21666667;15,72;7,98067011;59,89722714;7,684560717
38;37,1;15,53;8,004016975;56,64042049;7,710284862
39;37,98333333;15,54;8,027363839;56,43970208;7,736009008
40;38,86666667;15,42;8,050710704;54,30642473;7,761733154
41;39,75;15,51;8,074057569;55,29323984;7,7874573
42;40,63333333;15,5;8,097404433;54,79842113;7,813181446
43;41,51666667;15,51;8,120751298;54,60099638;7,838905591
44;42,4;15,68;8,144098162;56,78981651;7,864629737
45;43,28333333;15,73;8,167445027;57,19223772;7,890353883
46;44,16666667;15,72;8,190791891;56,68897474;7,916078029
47;45,05;15,56;8,214138756;53,96167742;7,941802174
48;45,93333333;15,55;8,237485621;53,47286655;7,96752632
49;46,81666667;15,61;8,260832485;54,01026316;7,993250466
50;47,7;15,61;8,28417935;53,6676482;8,018974612
51;48,58333333;15,57;8,307526214;52,74352549;8,044698758
52;49,46666667;15,65;8,330873079;53,56961889;8,070422903
53;50,35;15,56;8,354219943;51,92326623;8,096147049
54;51,23333333;15,54;8,377566808;51,30044923;8,121871195
55;52,11666667;15,53;8,400913672;50,82387187;8,147595341
56;53;15,49;8,424260537;49,92467416;8,173319487
