;L, μμ;hn58,naco3-12,73,1000.csv;Result;fail;Predict
0;4,866666667;307,056;510,0366709;41201,15277;573,679027
1;6,083333333;339,192;510,2241593;29251,99952;573,8377406
2;7,3;345,192;510,4116477;27297,53198;573,9964541
3;8,516666667;349,008;510,5991361;26111,69526;574,1551677
4;9,733333333;396,408;510,7866245;13082,46973;574,3138812
5;10,95;383,736;510,9741128;16189,53736;574,4725948
6;12,16666667;380,52;511,1616012;17067,22797;574,6313083
7;13,38333333;409,032;511,3490896;10468,78683;574,7900219
8;14,6;411,72;511,536578;9963,349243;574,9487354
9;15,81666667;384,672;511,7240664;16142,22757;575,107449
10;17,03333333;405,648;511,9115548;11291,94307;575,2661625
11;18,25;416,976;512,0990431;9048,393338;575,4248761
12;19,46666667;391,032;512,2865315;14702,66142;575,5835896
13;20,68333333;405,48;512,4740199;11447,7203;575,7423032
14;21,9;426,096;512,6615083;7493,587228;575,9010167
15;23,11666667;406,608;512,8489967;11287,14938;576,0597303
16;24,33333333;405,216;513,0364851;11625,257;576,2184438
17;25,55;431,28;513,2239735;6714,814786;576,3771574
18;26,76666667;413,448;513,4114618;9992,693703;576,5358709
19;27,98333333;392,208;513,5989502;14735,7628;576,6945845
20;29,2;414,768;513,7864386;9804,651185;576,853298
21;30,41666667;402,408;513,973927;12446,95607;577,0120116
22;31,63333333;379,608;514,1614154;18104,62159;577,1707251
23;32,85;402,984;514,3489038;12402,14179;577,3294387
24;34,06666667;410,712;514,5363921;10779,50441;577,4881522
25;35,28333333;384,936;514,7238805;16844,89393;577,6468658
26;36,5;400,776;514,9113689;13026,88244;577,8055793
27;37,71666667;415,704;515,0988573;9879,337658;577,9642929
28;38,93333333;387,6;515,2863457;16303,80288;578,1230064
29;40,15;403,128;515,4738341;12621,58643;578,28172
30;41,36666667;428,112;515,6613225;7664,883863;578,4404335
31;42,58333333;411,768;515,8488108;10832,81519;578,5991471
32;43,8;399,576;516,0362992;13563,0013;578,7578606
33;45,01666667;430,68;516,2237876;7317,739599;578,9165742
34;46,23333333;423,504;516,411276;8631,761933;579,0752877
35;47,45;406,2;516,5987644;12187,88718;579,2340013
36;48,66666667;432,384;516,7862528;7123,740272;579,3927148
37;49,88333333;439,416;516,9737412;6015,203212;579,5514284
38;51,1;405,768;517,1612295;12408,45159;579,7101419
39;52,31666667;409,392;517,3487179;11654,65294;579,8688555
40;53,53333333;428,76;517,5362063;7881,214806;580,0275691
41;54,75;403,488;517,7236947;13049,79394;580,1862826
42;55,96666667;408,816;517,9111831;11901,75897;580,3449962
43;57,18333333;440,16;518,0986715;6074,436509;580,5037097
44;58,4;432,36;518,2861598;7383,304945;580,6624233
45;59,61666667;423,312;518,4736482;9055,739293;580,8211368
46;60,83333333;443,808;518,6611366;5602,992061;580,9798504
47;62,05;410,544;518,848625;11729,8918;581,1385639
48;63,26666667;362,472;519,0361134;24512,3216;581,2972775
49;64,48333333;320,544;519,2236018;39473,58416;581,455991
50;65,7;282,216;519,4110902;56261,51079;581,6147046
51;66,91666667;255,456;519,5985785;69771,3018;581,7734181
52;68,13333333;293,16;519,7860669;51359,37421;581,9321317
53;69,35;332,328;519,9735553;35210,85443;582,0908452
54;70,56666667;332,712;520,1610437;35137,14398;582,2495588
55;71,78333333;381,504;520,3485321;19277,80409;582,4082723
56;73;404,52;520,5360205;13459,717;582,5669859
57;74,21666667;392,136;520,7235088;16534,74743;582,7256994
58;75,43333333;388,176;520,9109972;17618,57949;582,884413
59;76,65;448,536;521,0984856;5265,314318;583,0431265
60;77,86666667;433,32;521,285974;7738,012581;583,2018401
61;79,08333333;421,848;521,4734624;9925,232755;583,3605536
62;80,3;442,704;521,6609508;6234,200074;583,5192672
63;81,51666667;445,992;521,8484392;5754,199361;583,6779807
64;82,73333333;433,512;522,0359275;7836,485746;583,8366943
65;83,95;451,8;522,2234159;4959,45751;583,9954078
66;85,16666667;467,64;522,4109043;2999,851958;584,1541214
67;86,38333333;446,04;522,5983927;5861,187491;584,3128349
68;87,6;458,544;522,7858811;4127,019284;584,4715485
69;88,81666667;466,416;522,9733695;3198,73604;584,630262
70;90,03333333;460,248;523,1608578;3958,027682;584,7889756
71;91,25;464,52;523,3483462;3460,77432;584,9476891
72;92,46666667;484,68;523,5358346;1509,775883;585,1064027
73;93,68333333;474,864;523,723323;2387,233444;585,2651162
74;94,9;479,376;523,9108114;1983,349425;585,4238298
75;96,11666667;486,84;524,0982998;1388,180901;585,5825433
76;97,33333333;479,136;524,2857882;2038,50337;585,7412569
77;98,55;477,624;524,4732765;2194,854712;585,8999704
78;99,76666667;486,792;524,6607649;1434,043357;586,058684
79;100,9833333;482,16;524,8482533;1822,28697;586,2173975
80;102,2;473,592;525,0357417;2646,458559;586,3761111
81;103,4166667;482,256;525,2232301;1846,18286;586,5348246
82;104,6333333;477,792;525,4107185;2267,542348;586,6935382
83;105,85;472,704;525,5982068;2797,797118;586,8522517
84;107,0666667;480,96;525,7856952;2009,342953;587,0109653
85;108,2833333;484,728;525,9731836;1701,165171;587,1696788
86;109,5;474,672;526,160672;2651,083344;587,3283924
87;110,7166667;484,08;526,3481604;1786,597382;587,4871059
88;111,9333333;490,632;526,5356488;1289,071995;587,6458195
89;113,15;482,112;526,7231372;1990,153558;587,804533
90;114,3666667;487,92;526,9106255;1520,26888;587,9632466
91;115,5833333;497,568;527,0981139;872,0276282;588,1219601
92;116,8;489,288;527,2856023;1443,817781;588,2806737
93;118,0166667;489,6;527,4730907;1434,370998;588,4393872
94;119,2333333;499,344;527,6605791;801,8286505;588,5981008
95;120,45;492,096;527,8480675;1278,210328;588,7568143
96;121,6666667;493,416;528,0355558;1198,513647;588,9155279
97;122,8833333;502,488;528,2230442;662,2925014;589,0742414
98;124,1;495,288;528,4105326;1097,102167;589,232955
99;125,3166667;497,448;528,598021;970,3238082;589,3916685
100;126,5333333;511,464;528,7855094;300,0346873;589,5503821
101;127,75;502,368;528,9729978;707,8259062;589,7090956
102;128,9666667;499,512;529,1604862;879,0327311;589,8678092
103;130,1833333;513,72;529,3479745;244,2335881;590,0265227
104;131,4;508,8;529,5354629;429,9594225;590,1852363
105;132,6166667;505,344;529,7229513;594,3332668;590,3439499
106;133,8333333;518,208;529,9104397;136,9470947;590,5026634
107;135,05;475,608;530,0979281;2969,152262;590,661377
108;136,2666667;412,704;530,2854165;13825,3895;590,8200905
